Empresa,Correo,Ciudad,Estado,Fuente
GRUPO BARGO DE MÉXICO,gustavo.garcia@gbargo.com,Guadalajara,Jalisco,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 560262945-Directorio_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
"AGROINDUSTRIAS AVÍCOLAS, S.A. DE C.V.",sistemas@agroindustriasavicolas.com.mx,Tepatitlán de Morelos,Jalisco,583034336-Pad-Imp_extraccion_forense.md; 699392889-Industridata-empresas-A_extraccion_forense.md
GRUPO ABSA,carlos.garcia@grupoabsa.com,Guadalajara,Jalisco,690888392-MAYORISTAS-1_extraccion_forense.md
GRUPO EMPRESARIAL INNOVACIÓN S.A. DE C.V. (GEINN),,,Jalisco,746727482-Empresas-Rp-Ago-dic-2023_extraccion_forense.md
Grupo Gysapol S.A. de C.V.,,Toluca,Edo. Mex.,130041251-Directorio-Mex-2012_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md
"INDUSTRIAS MAN DE MÉXICO, S.A. DE C.V.",daguilar@industriasman.mx,,Ciudad de México,130041251-Directorio-Mex-2012_extraccion_forense.md; 325870891-Empres-As_extraccion_forense.md; 564645792-Industridata-empresas-AA(1)_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
Amacuzac Servicios Corporativos,info@amacuzac.com.mx,Ciudad de México,Ciudad de México,130104164-Explor-Ac-i-on-Pro-Ducci-on-Direc_extraccion_forense.md; 298190739-Directorio-Empres-As_extraccion_forense.md
Grupo Diarqco,grupodiarqco@grupodiarqco.com.mx,Villahermosa,Tabasco,130104164-Explor-Ac-i-on-Pro-Ducci-on-Direc_extraccion_forense.md; 298190739-Directorio-Empres-As_extraccion_forense.md
Grupo Diavaz,info@diavaz.com,Ciudad de México,Ciudad de México,130104164-Explor-Ac-i-on-Pro-Ducci-on-Direc_extraccion_forense.md; 298190739-Directorio-Empres-As_extraccion_forense.md
Grupo Geoelec,ftorres@geoelec.com.mx,,Aguascalientes,130104164-Explor-Ac-i-on-Pro-Ducci-on-Direc_extraccion_forense.md
Grupo R,adorantes@grupor.com.mx,,Ciudad de México,130104164-Explor-Ac-i-on-Pro-Ducci-on-Direc_extraccion_forense.md; 298190739-Directorio-Empres-As_extraccion_forense.md; 788183268-Expo-Congreso-Mexicano-del-Petroleo-2016_extraccion_forense.md
Grupo Sicelub Lubritech,dario@sicelub.com,Ciudad de México,Ciudad de México,130104164-Explor-Ac-i-on-Pro-Ducci-on-Direc_extraccion_forense.md; 298190739-Directorio-Empres-As_extraccion_forense.md
